                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.6158,                 1.6356,                 1.6028,                 1.6152,                 2.0441,                 1.5164,                0.54464,                0.44686,                0.46725,                0.22568,                 2.0669,                 2.3411,                 2.1856,                 1.9528,                 2.7177,                  1.945,              0.0015671,              0.0015671,              0.0015671
                     34,                  1.594,                 1.6154,                 1.5897,                 1.6105,                 1.9955,                 1.5088,                0.61184,                0.48013,                0.51168,                 0.2689,                 2.0231,                 2.1664,                 2.0774,                 1.9386,                 2.5234,                 1.8959,              0.0015639,              0.0015639,              0.0015639
                     35,                 1.6171,                  1.613,                 1.6053,                 1.6318,                 1.9909,                 1.5184,                0.60292,                0.48823,                0.52434,                0.25204,                 2.0336,                 2.1614,                 2.1255,                  1.908,                 2.5329,                 1.9071,              0.0015606,              0.0015606,              0.0015606
                     36,                 1.6157,                 1.6288,                 1.5896,                 1.6476,                 2.0261,                 1.5248,                0.62575,                0.47306,                 0.5388,                 0.2588,                 2.0419,                 2.1473,                 2.1055,                 1.9684,                 2.5685,                 1.9546,              0.0015574,              0.0015574,              0.0015574
                     37,                   1.63,                 1.6241,                 1.5842,                 1.6732,                 2.0078,                 1.5164,                0.63837,                0.47684,                0.52146,                 0.2444,                 2.0328,                 2.0557,                 2.1103,                  2.011,                 2.4044,                 1.9658,              0.0015542,              0.0015542,              0.0015542
                     38,                 1.5977,                 1.5834,                  1.591,                 1.6302,                 1.9627,                 1.5187,                0.61112,                0.46614,                 0.5068,                0.23888,                 2.0402,                 2.1517,                  2.127,                 1.9522,                 2.4989,                 1.9636,               0.001551,               0.001551,               0.001551
                     39,                 1.5799,                 1.5576,                 1.5693,                 1.6181,                 1.9481,                 1.5081,                0.58684,                0.49229,                 0.5098,                0.25006,                 1.9673,                 2.1395,                 2.0894,                 1.9094,                 2.5063,                 1.9083,              0.0015477,              0.0015477,              0.0015477
                     40,                 1.5798,                 1.5358,                 1.5623,                 1.6198,                 1.8936,                 1.4911,                 0.5427,                 0.5467,                0.53357,                0.26298,                 1.9732,                    2.1,                 2.0524,                 1.9089,                 2.4151,                 1.8798,              0.0015445,              0.0015445,              0.0015445
                     41,                 1.5749,                 1.5115,                 1.5624,                 1.6164,                 1.8691,                 1.5048,                0.59438,                0.48543,                0.53596,                0.26913,                  1.991,                 2.1146,                 2.0929,                 1.9282,                 2.5382,                 1.9229,              0.0015413,              0.0015413,              0.0015413
                     42,                 1.5481,                 1.4781,                 1.5486,                 1.5745,                  1.843,                 1.4831,                0.63428,                0.51636,                0.54072,                0.27613,                 2.0362,                  2.121,                 2.1093,                 1.9942,                 2.4855,                 1.9892,              0.0015381,              0.0015381,              0.0015381
                     43,                 1.5637,                 1.4868,                 1.5433,                 1.5985,                 1.8412,                 1.4785,                0.61088,                0.52835,                0.53164,                0.26778,                 2.0419,                 2.1103,                  2.089,                 2.0251,                 2.4534,                 2.0052,              0.0015348,              0.0015348,              0.0015348
                     44,                 1.5213,                  1.439,                  1.517,                 1.5977,                 1.7901,                 1.4821,                0.52812,                0.45049,                0.45504,                0.23126,                 2.0537,                 2.3971,                 2.1471,                 2.0024,                 2.7169,                 2.0001,              0.0015316,              0.0015316,              0.0015316
                     45,                 1.5349,                 1.4591,                 1.5318,                 1.5856,                 1.8072,                 1.4798,                0.62065,                0.44372,                0.48053,                0.24612,                 1.9606,                 2.0779,                 2.0524,                 1.9563,                 2.3972,                 1.9373,              0.0015284,              0.0015284,              0.0015284
                     46,                 1.5646,                 1.5047,                 1.5408,                 1.6108,                 1.8694,                 1.4817,                0.72119,                0.45086,                0.54999,                 0.2731,                  1.974,                  1.952,                 2.0393,                 1.9396,                 2.2928,                 1.9282,              0.0015252,              0.0015252,              0.0015252
                     47,                 1.5479,                 1.4361,                 1.5376,                 1.5693,                 1.8104,                 1.4744,                0.63126,                0.54357,                0.57521,                0.28088,                 1.9647,                  1.926,                 2.0783,                 1.9721,                 2.1969,                  1.962,               0.001522,               0.001522,               0.001522
                     48,                 1.5092,                 1.4244,                 1.5124,                 1.5625,                 1.7589,                  1.469,                0.59957,                0.48688,                0.53918,                0.25888,                 2.0332,                 2.1088,                 2.1138,                 1.9513,                 2.4759,                 1.9559,              0.0015187,              0.0015187,              0.0015187
                     49,                  1.483,                 1.3545,                 1.4954,                 1.5402,                 1.6842,                 1.4647,                0.62048,                0.52955,                0.55372,                0.28812,                 1.9898,                 2.0442,                 2.0319,                 1.9215,                 2.3421,                 1.9249,              0.0015155,              0.0015155,              0.0015155
                     50,                 1.4951,                 1.3721,                 1.4938,                 1.5608,                  1.709,                 1.4516,                0.63852,                0.53136,                0.56949,                0.26911,                 2.0124,                 1.9922,                 2.1068,                 1.9325,                 2.3733,                 1.9423,              0.0015123,              0.0015123,              0.0015123
                     51,                 1.4528,                 1.3194,                 1.4544,                 1.5099,                 1.6272,                 1.4199,                0.59331,                0.55924,                0.57078,                0.29218,                 1.9321,                 2.0324,                  2.053,                 1.9047,                 2.3265,                 1.9463,              0.0015091,              0.0015091,              0.0015091
                     52,                 1.4896,                 1.4061,                 1.4864,                 1.5565,                 1.7443,                 1.4642,                0.67902,                0.53651,                0.58464,                0.31108,                 1.9426,                 1.9142,                  2.025,                  1.877,                 2.2416,                 1.9074,              0.0015058,              0.0015058,              0.0015058
                     53,                 1.4722,                 1.3366,                 1.4749,                  1.546,                 1.6579,                 1.4446,                0.63945,                0.43383,                0.48249,                0.23697,                 2.0918,                 2.2916,                 2.1428,                 2.0074,                 2.6708,                 1.9749,              0.0015026,              0.0015026,              0.0015026
                     54,                 1.4976,                 1.3602,                 1.4881,                 1.5541,                 1.6676,                 1.4578,                0.64398,                0.52657,                0.57448,                 0.3054,                 1.9077,                 1.9546,                 2.0164,                 1.9013,                 2.2781,                 1.9128,              0.0014994,              0.0014994,              0.0014994
                     55,                 1.4394,                 1.3196,                 1.4618,                 1.5211,                 1.6264,                 1.4489,                0.68942,                0.53249,                0.60665,                0.32413,                 1.9172,                 1.8344,                 2.0232,                  1.907,                 2.1665,                 1.9221,              0.0014962,              0.0014962,              0.0014962
                     56,                 1.4708,                 1.3396,                 1.4727,                 1.5227,                 1.6801,                 1.4334,                0.60111,                0.48763,                0.52923,                0.26924,                 2.0318,                 1.9807,                 2.0271,                  1.989,                 2.3489,                 1.9357,              0.0014929,              0.0014929,              0.0014929
                     57,                 1.4615,                 1.2926,                 1.4541,                 1.5237,                 1.5851,                 1.4196,                0.61338,                0.56743,                0.57964,                0.27332,                 2.0214,                 2.0267,                 2.0936,                 2.0307,                 2.3333,                 2.0009,              0.0014897,              0.0014897,              0.0014897
                     58,                 1.4339,                 1.2969,                 1.4461,                 1.4997,                 1.5997,                 1.4263,                0.66246,                 0.5479,                0.57812,                0.30758,                 1.9249,                 1.8699,                 1.9819,                 1.8639,                 2.1807,                 1.8848,              0.0014865,              0.0014865,              0.0014865
                     59,                 1.4075,                 1.2759,                 1.4387,                 1.4845,                 1.5831,                 1.4036,                0.75301,                0.48678,                0.57956,                0.31557,                 1.9562,                 1.9829,                 2.0342,                 1.8969,                  2.305,                 1.9018,              0.0014833,              0.0014833,              0.0014833
                     60,                 1.4323,                 1.2859,                  1.441,                 1.5237,                 1.5977,                 1.4239,                0.64342,                0.51854,                0.55736,                0.27497,                   1.94,                 1.9515,                 2.0487,                 1.9129,                 2.2407,                  1.944,                0.00148,                0.00148,                0.00148
                     61,                 1.3999,                 1.2698,                  1.431,                 1.4709,                   1.57,                 1.4075,                0.64958,                0.54759,                0.58817,                0.29972,                 1.9107,                 1.9728,                 2.0686,                 1.8944,                 2.2912,                 1.9625,              0.0014768,              0.0014768,              0.0014768
                     62,                 1.3936,                  1.221,                 1.4106,                  1.483,                 1.5011,                 1.4044,                 0.6953,                0.55448,                0.60632,                0.31299,                 1.9755,                 1.9398,                 2.0985,                 1.9573,                 2.1852,                 1.9776,              0.0014736,              0.0014736,              0.0014736
                     63,                 1.4369,                   1.26,                 1.4279,                 1.5154,                 1.5687,                  1.415,                0.65915,                0.54296,                 0.6097,                0.32274,                 1.8717,                 1.8602,                 1.9971,                 1.8313,                 2.1776,                 1.9116,              0.0014704,              0.0014704,              0.0014704
                     64,                 1.3892,                 1.2366,                 1.4112,                 1.4543,                 1.5353,                 1.3873,                 0.6957,                0.55104,                0.62574,                 0.3288,                 1.9226,                 1.8202,                 2.0186,                 1.8906,                 2.0593,                   1.94,              0.0014672,              0.0014672,              0.0014672
                     65,                 1.3977,                  1.212,                 1.4127,                 1.4656,                 1.5013,                 1.3912,                0.67081,                0.56074,                 0.6194,                0.31257,                    1.9,                 1.8216,                  2.034,                 1.9096,                 2.0849,                 1.9464,              0.0014639,              0.0014639,              0.0014639
                     66,                 1.3962,                 1.2289,                 1.4246,                 1.4884,                 1.5186,                 1.4091,                0.68201,                0.51134,                0.57696,                0.28299,                 1.9287,                 1.8942,                 2.0876,                 1.8792,                 2.2157,                 1.9526,              0.0014607,              0.0014607,              0.0014607
                     67,                 1.4204,                 1.2398,                 1.4236,                 1.5131,                 1.5375,                 1.3999,                0.73077,                0.50703,                 0.5933,                0.29324,                 2.0115,                 1.9069,                 2.0974,                 1.9835,                  2.262,                 1.9739,              0.0014575,              0.0014575,              0.0014575
